date,open,high,low,close,volume
2006-08-15,3.6596,3.9309,3.6244,3.9109,90217200
2006-08-16,3.9324,4.2083,3.8313,4.1914,102924402
2006-08-17,4.1393,4.2481,4.0841,4.1255,81422400
2006-08-18,4.1301,4.2144,3.9860,4.1929,66589602
2006-08-21,4.1301,4.1378,4.0289,4.0381,50022000
2006-08-22,4.0259,4.1439,4.0228,4.0320,47392800
2006-08-23,4.0627,4.1040,3.9401,4.0289,48541200
2006-08-24,4.0397,4.0918,3.9753,4.0703,26080002
2006-08-25,4.0397,4.1301,3.9998,4.0581,23831202
2006-08-28,4.1255,4.3171,4.1178,4.1975,76456002
2006-08-29,4.2374,4.4075,4.2067,4.3876,72796002
2006-08-30,4.4113,4.5239,4.4013,4.4780,68156400
2006-08-31,4.4672,4.4872,4.3646,4.4611,51127602
2006-09-01,4.3952,4.4305,4.2573,4.2742,60574002
2006-09-05,4.2879,4.3845,4.2251,4.3676,54935202
2006-09-06,4.2910,4.2971,4.1378,4.1485,49357200
2006-09-07,4.0811,4.3247,4.0366,4.2312,74283600
2006-09-08,4.2987,4.3171,4.1516,4.2450,44797602
2006-09-11,4.1500,4.3600,4.1025,4.3109,59826402
